index,division,district,pac,nac,const
392,,,PP-272 Muzaffargarh-II,NA-177 (Muzaffargarh-III),NA-177
394,,,PP-274 Muzaffargarh-IV,NA-178 (Muzaffargarh-IV),NA-178
396,,,PP-276 Muzaffargarh-VI,NA-179 (Muzaffargarh-V),NA-179
398,,,PP-278 Muzaffargarh-VIII,NA-180 (Muzaffargarh-VI),NA-180
400,,Layyah,PP-280 Layyah-I,NA-181 (Layyah-I),NA-181
403,,,PP-283 Layyah-IV,NA-182 (Layyah-II),NA-182
405,,Taunsa,PP-285 Taunsa-I,NA-183 (Dera Ghazi Khan-I),NA-183
407,,,PP-287 Taunsa-III,NA-184 (Dera Ghazi Khan-II),NA-184
409,,,PP-289 Dera Ghazi Khan-II,NA-185 (Dera Ghazi Khan-III),NA-185
411,,,PP-291 Dera Ghazi Khan-IV,NA-186 (Dera Ghazi Khan-IV),NA-186
413,,Jampur,PP-293 Jampur-I,NA-187 (Jampur),NA-187
414,,,PP-294 Jampur-II,NA-188 (Jampur-cum-Rajanpur,NA-188
416,,,PP-296 Rajanpur-II,NA-189 (Rajanpur),NA-189
419,Larkana,Jacobabad,PS-1 Jacobabad-I,NA-190 (Jacobabad),NA-190
422,,Kashmore,PS-4 Kashmore-I,NA-191 (Kashmore),NA-191
425,,Shikarpur,PS-7 Shikarpur-I,NA-192 (Shikarpur-I),NA-192
427,,,PS-9 Shikarpur-III,NA-193 (Shikarpur-II),NA-193
428,,Larkana,PS-10 Larkana-I,NA-194 (Larkana-I),NA-194
430,,,PS-12 Larkana-III,NA-195 (Larkana-II),NA-195
432,,Qambar Shahdadkot,PS-14 Qambar Shahdadkot-I,NA-196 (Qambar Shahdadkot-I),NA-196
434,,,PS-16 Qambar Shahdadkot-III,NA-197 (Qambar Shahdadkot-II),NA-197
436,Sukkur,Ghotki,PS-18 Ghotki-I,NA-198 (Ghotki-I),NA-198
438,,,PS-20 Ghotki-III,NA-199 (Ghotki-II),NA-199
440,,Sukkur,PS-22 Sukkur-I,NA-200 (Sukkur-I),NA-200
442,,,PS-24 Sukkur-III,NA-201 (Sukkur-II),NA-201
444,,Khairpur,PS-26 Khairpur-I,NA-202 (Khairpur-I),NA-202
446,,,PS-28 Khairpur-III,NA-203 (Khairpur-II),NA-203
448,,,PS-30 Khairpur-V,NA-204 (Khairpur-III),NA-204
451,Nawabshah,Naushahro Feroze,PS-33 Naushahro Feroze-I,NA-205 (Naushahro Feroze-I),NA-205
453,,,PS-35 Naushahro Feroze-III,NA-206 (Naushahro Feroze-II),NA-206
455,,Nawabshah,NA-37 Nawabshah-I,NA-207 (Nawabshah-I),NA-207
457,,,NA-39 Nawabshah-III,NA-208 (Nawabshah-II),NA-208
459,,Sanghar,PS-41 Sanghar-I,NA-209 (Sanghar-I),NA-209
461,,,PS-43 Sanghar-III,NA-210 (Sanghar-II),NA-210
463,,,PS-45 Sanghar-V,NA-211 (Sanghar-III),NA-211
465,Mirpur Khas,Mirpur Khas,PS-47 Mirpur Khas-I,NA-212 (Mirpur Khas-I),NA-212
467,,,PS-49 Mirpur Khas-III,NA-213 (Mirpur Khas-II),NA-213
469,,Umerkot,PS-51 Umerkot-I,NA-214 (Umerkot),NA-214
472,,Tharparkar,PS-54 Tharparkar-I,NA-215 (Tharparkar-I),NA-215
474,,,PS-56 Tharparkar-III,NA-216 (Tharparkar-II),NA-216
476,Hyderabad,Matiari,PS-58 Matiari-I,NA-217 (Matiari),NA-217
478,,Tando Allahyar,PS-60 Tando Allahyar-I,NA-218 (Tando Allahyar),NA-218
480,,Hyderabad,PS-62 Hyderabad-I,NA-219 (Hyderabad-I),NA-219
